transaction_id,customer_id,transaction_date,order_value,quantity,product_category,payment_method,channel,discount_used_pct,customer_profile_segment,customer_city,customer_state,signup_date
T008215,C1032,2025-01-20,1977.44,2,Home,Credit Card,App,15,low_engagement,Delhi,West Bengal,2025-01-13
T008428,C0097,2025-01-20,1051.25,1,Electronics,UPI,App,25,low_engagement,Ahmedabad,Karnataka,2025-01-20
T009240,C0378,2025-01-20,3749.7,2,Home,Debit Card,App,10,high_value,Kolkata,Karnataka,2025-01-01
T012662,C0546,2025-01-20,3428.65,1,Electronics,Debit Card,Web,10,repeat,Pune,Karnataka,2025-01-12
T012904,C0033,2025-01-20,3968.09,3,Groceries,UPI,Web,5,high_value,Hyderabad,Maharashtra,2025-01-03
T014087,C0078,2025-01-20,6319.08,1,Fashion,UPI,Web,10,high_value,Hyderabad,Tamil Nadu,2025-01-12
T006841,C0040,2025-01-21,5284.74,3,Beauty,Debit Card,App,5,repeat,Hyderabad,Gujarat,2025-01-02
T010887,C0117,2025-01-21,1681.63,3,Electronics,Debit Card,Web,0,at_risk,Pune,Maharashtra,2025-01-02
T011554,C0482,2025-01-21,2219.78,1,Groceries,Net Banking,Web,25,low_engagement,Hyderabad,Delhi,2025-01-19
T011841,C0852,2025-01-21,3236.29,1,Fashion,UPI,App,10,low_engagement,Kolkata,Karnataka,2025-01-04
T014038,C0461,2025-01-21,4643.31,2,Home,UPI,App,5,high_value,Chennai,Tamil Nadu,2025-01-12
T014118,C0332,2025-01-21,1796.06,2,Fashion,UPI,Web,15,low_engagement,Ahmedabad,Delhi,2025-01-06
T001037,C1195,2025-01-22,7306.44,2,Groceries,Debit Card,Store,20,high_value,Ahmedabad,Karnataka,2025-01-13
T001827,C1040,2025-01-22,1014.09,2,Home,Wallet,App,10,repeat,Mumbai,Karnataka,2025-01-16
T003104,C0008,2025-01-22,2668.94,1,Fashion,UPI,Store,10,at_risk,Delhi,Karnataka,2025-01-13
T005129,C0008,2025-01-22,2065.02,1,Beauty,Credit Card,Store,15,at_risk,Delhi,Karnataka,2025-01-13
T010342,C1084,2025-01-22,1357.6,2,Fashion,Wallet,App,10,at_risk,Pune,Telangana,2025-01-10
T013409,C0298,2025-01-22,1914.73,2,Electronics,UPI,Store,10,repeat,Chennai,Tamil Nadu,2025-01-02
T014153,C0516,2025-01-22,7927.18,1,Electronics,Debit Card,Store,5,high_value,Hyderabad,West Bengal,2025-01-01
T000507,C0685,2025-01-23,1076.87,1,Home,Net Banking,Web,0,at_risk,Pune,West Bengal,2025-01-21
T000909,C1084,2025-01-23,2465.5,2,Electronics,UPI,App,10,at_risk,Pune,Telangana,2025-01-10
T001907,C0216,2025-01-23,120.0,1,Sports,Credit Card,Web,15,repeat,Pune,Telangana,2025-01-08
T002722,C0646,2025-01-23,2566.83,2,Beauty,Credit Card,Store,20,at_risk,Delhi,Gujarat,2025-01-14
T003109,C0838,2025-01-23,1862.05,3,Electronics,Credit Card,App,5,repeat,Delhi,Karnataka,2025-01-20
T003635,C0870,2025-01-23,2011.59,1,Beauty,Debit Card,Web,10,at_risk,Bengaluru,West Bengal,2025-01-19
T006325,C0124,2025-01-23,4298.69,3,Groceries,Net Banking,Store,25,high_value,Chennai,West Bengal,2025-01-11
T006403,C0298,2025-01-23,3678.97,1,Sports,UPI,App,10,repeat,Chennai,Tamil Nadu,2025-01-02
T011931,C0540,2025-01-23,6829.63,2,Groceries,Credit Card,App,5,high_value,Ahmedabad,Gujarat,2025-01-14
T013758,C0378,2025-01-23,6239.24,1,Fashion,Credit Card,Web,5,high_value,Kolkata,Karnataka,2025-01-01
T000371,C0683,2025-01-24,4928.03,2,Electronics,Credit Card,Store,15,high_value,Hyderabad,Telangana,2025-01-11
T005833,C1140,2025-01-24,237.84,1,Beauty,Credit Card,App,15,low_engagement,Chennai,West Bengal,2025-01-17
T012201,C0789,2025-01-24,4423.99,1,Sports,Credit Card,Web,0,repeat,Chennai,West Bengal,2025-01-08
T012952,C0600,2025-01-24,7504.39,1,Fashion,Credit Card,Store,5,high_value,Hyderabad,West Bengal,2025-01-04
T013230,C0072,2025-01-24,2551.65,3,Beauty,Net Banking,App,15,repeat,Pune,Gujarat,2025-01-07
T004079,C1147,2025-01-25,80.0,1,Groceries,Credit Card,App,5,low_engagement,Delhi,West Bengal,2025-01-15
T005126,C0447,2025-01-25,352.46,1,Electronics,Debit Card,App,15,at_risk,Delhi,Telangana,2025-01-25
T006010,C0290,2025-01-25,925.85,2,Electronics,UPI,Web,20,low_engagement,Hyderabad,West Bengal,2025-01-21
T007144,C0874,2025-01-25,4256.47,2,Groceries,Debit Card,App,5,repeat,Mumbai,Telangana,2025-01-25
T007159,C0118,2025-01-25,1280.34,2,Home,Wallet,Web,20,repeat,Ahmedabad,Delhi,2025-01-17
T007268,C0527,2025-01-25,1788.88,1,Fashion,Credit Card,App,0,repeat,Chennai,Gujarat,2025-01-16
T007453,C1187,2025-01-25,1417.68,2,Electronics,Credit Card,Web,10,low_engagement,Ahmedabad,West Bengal,2025-01-06
T007537,C0445,2025-01-25,2141.53,2,Beauty,Net Banking,App,5,at_risk,Kolkata,Maharashtra,2025-01-23
T007666,C1040,2025-01-25,3233.97,2,Fashion,Debit Card,App,5,repeat,Mumbai,Karnataka,2025-01-16
T011147,C0037,2025-01-25,3507.47,2,Sports,UPI,Web,15,repeat,Chennai,Karnataka,2025-01-09
T011494,C0123,2025-01-25,2294.91,1,Electronics,Credit Card,App,15,repeat,Ahmedabad,Gujarat,2025-01-23
T012981,C1052,2025-01-25,1809.01,3,Groceries,UPI,Web,10,low_engagement,Kolkata,Karnataka,2025-01-08
T014061,C0106,2025-01-25,4652.51,2,Sports,Credit Card,App,5,repeat,Delhi,Maharashtra,2025-01-18
T000616,C0870,2025-01-26,2352.52,2,Electronics,UPI,Web,10,at_risk,Bengaluru,West Bengal,2025-01-19
T002154,C0009,2025-01-26,2604.01,1,Beauty,Wallet,App,20,low_engagement,Mumbai,Tamil Nadu,2025-01-15
T002625,C0296,2025-01-26,2795.45,3,Electronics,UPI,App,25,low_engagement,Hyderabad,Karnataka,2025-01-23
T002846,C0078,2025-01-26,7685.94,1,Electronics,Debit Card,Store,15,high_value,Hyderabad,Tamil Nadu,2025-01-12
T003391,C0874,2025-01-26,3277.31,1,Home,UPI,Store,15,repeat,Mumbai,Telangana,2025-01-25
T006287,C1149,2025-01-26,1538.59,2,Sports,Wallet,Store,25,at_risk,Hyderabad,Karnataka,2025-01-23
T006444,C0539,2025-01-26,3528.79,2,Fashion,UPI,Web,5,repeat,Hyderabad,Delhi,2025-01-26
T007753,C0874,2025-01-26,1449.72,2,Fashion,Wallet,Store,0,repeat,Mumbai,Telangana,2025-01-25
T008902,C0447,2025-01-26,3513.23,1,Beauty,UPI,App,20,at_risk,Delhi,Telangana,2025-01-25
T009095,C0709,2025-01-26,2736.37,3,Electronics,Credit Card,App,0,repeat,Delhi,Karnataka,2025-01-12
T010810,C0880,2025-01-26,4498.45,3,Fashion,UPI,App,15,repeat,Pune,West Bengal,2025-01-23
T011714,C0450,2025-01-26,5304.1,2,Home,Credit Card,Web,5,high_value,Bengaluru,Delhi,2025-01-01
T013368,C0614,2025-01-26,6475.05,2,Groceries,UPI,Store,20,high_value,Hyderabad,Tamil Nadu,2025-01-05
T005273,C0901,2025-01-27,4442.1,1,Fashion,Net Banking,Store,15,repeat,Bengaluru,Delhi,2025-01-13
T006146,C0585,2025-01-27,2493.62,1,Electronics,Credit Card,Store,25,low_engagement,Hyderabad,West Bengal,2025-01-08
T007090,C0709,2025-01-27,2997.44,3,Fashion,Debit Card,App,0,repeat,Delhi,Karnataka,2025-01-12
T009400,C1029,2025-01-27,3078.74,1,Fashion,Debit Card,Web,20,repeat,Mumbai,Maharashtra,2025-01-06
T009517,C0461,2025-01-27,4205.27,1,Fashion,UPI,App,25,high_value,Chennai,Tamil Nadu,2025-01-12
T009877,C0323,2025-01-27,2433.48,2,Fashion,Debit Card,Store,5,low_engagement,Mumbai,Telangana,2025-01-06
T010357,C0509,2025-01-27,2246.18,1,Home,UPI,Store,10,at_risk,Bengaluru,Telangana,2025-01-26
T010508,C0450,2025-01-27,7257.75,2,Groceries,UPI,App,20,high_value,Bengaluru,Delhi,2025-01-01
T011392,C0568,2025-01-27,4952.56,2,Fashion,Credit Card,Web,0,repeat,Kolkata,Delhi,2025-01-21
T013108,C0603,2025-01-27,3611.47,1,Home,UPI,App,10,high_value,Hyderabad,Gujarat,2025-01-11
T000846,C0527,2025-01-28,3241.72,1,Home,UPI,App,10,repeat,Chennai,Gujarat,2025-01-16
T001766,C1008,2025-01-28,1490.54,1,Electronics,UPI,App,10,at_risk,Pune,Telangana,2025-01-28
T003143,C0707,2025-01-28,852.34,3,Fashion,Credit Card,App,5,repeat,Hyderabad,Delhi,2025-01-06
T003157,C0735,2025-01-28,3267.13,1,Sports,Debit Card,App,0,repeat,Kolkata,Gujarat,2025-01-12
T010114,C0671,2025-01-28,783.78,1,Home,UPI,Web,25,high_value,Delhi,Tamil Nadu,2025-01-09
T010467,C0451,2025-01-28,1130.4,1,Fashion,UPI,Store,5,low_engagement,Bengaluru,Maharashtra,2025-01-03
T012464,C0461,2025-01-28,6049.27,3,Beauty,UPI,App,10,high_value,Chennai,Tamil Nadu,2025-01-12
T012701,C0128,2025-01-28,1733.58,2,Groceries,UPI,Web,20,at_risk,Ahmedabad,Karnataka,2025-01-01
T013731,C0382,2025-01-28,2000.89,1,Home,Credit Card,App,15,low_engagement,Hyderabad,Tamil Nadu,2025-01-28
T014237,C0600,2025-01-28,8916.32,1,Home,Debit Card,App,5,high_value,Hyderabad,West Bengal,2025-01-04
T000450,C0539,2025-01-29,4021.16,2,Home,UPI,Store,10,repeat,Hyderabad,Delhi,2025-01-26
T003188,C1012,2025-01-29,2068.48,3,Electronics,Wallet,Web,25,at_risk,Bengaluru,Telangana,2025-01-10
T003853,C0059,2025-01-29,8463.45,2,Home,Credit Card,Web,15,high_value,Ahmedabad,Tamil Nadu,2025-01-26
T003913,C0445,2025-01-29,1622.97,1,Groceries,Wallet,App,0,at_risk,Kolkata,Maharashtra,2025-01-23
T005403,C1029,2025-01-29,1662.46,2,Home,Debit Card,Web,10,repeat,Mumbai,Maharashtra,2025-01-06
T007083,C1009,2025-01-29,2670.95,2,Fashion,UPI,App,0,repeat,Kolkata,Gujarat,2025-01-17
T008092,C0033,2025-01-29,6345.85,3,Groceries,Credit Card,Web,15,high_value,Hyderabad,Maharashtra,2025-01-03
T009676,C0710,2025-01-29,2255.59,2,Groceries,Debit Card,Web,5,low_engagement,Kolkata,Karnataka,2025-01-27
T009950,C0402,2025-01-29,1980.89,3,Sports,UPI,Web,5,at_risk,Bengaluru,Karnataka,2025-01-10
T010833,C0436,2025-01-29,1933.63,1,Home,UPI,App,5,low_engagement,Pune,Karnataka,2025-01-29
T001139,C0325,2025-01-30,3009.2,2,Sports,Net Banking,Web,15,at_risk,Ahmedabad,Karnataka,2025-01-21
T001632,C0771,2025-01-30,8687.16,4,Sports,Credit Card,Web,25,high_value,Ahmedabad,Tamil Nadu,2025-01-30
T001693,C1132,2025-01-30,870.79,2,Beauty,Credit Card,Store,5,repeat,Hyderabad,West Bengal,2025-01-16
T002477,C0400,2025-01-30,1229.23,3,Electronics,Credit Card,Store,15,low_engagement,Delhi,Delhi,2025-01-05
T002504,C1033,2025-01-30,790.52,1,Electronics,UPI,Web,15,repeat,Ahmedabad,Tamil Nadu,2025-01-03
T004595,C0592,2025-01-30,1527.35,2,Fashion,Credit Card,Web,25,low_engagement,Mumbai,Delhi,2025-01-12
T004824,C0987,2025-01-30,1831.93,1,Home,Wallet,Web,10,low_engagement,Chennai,Gujarat,2025-01-06
T005582,C0033,2025-01-30,5205.52,2,Electronics,Debit Card,Web,0,high_value,Hyderabad,Maharashtra,2025-01-03
T006400,C0941,2025-01-30,2609.89,1,Home,UPI,Store,15,repeat,Kolkata,Delhi,2025-01-11
T006782,C0683,2025-01-30,7354.27,1,Home,UPI,Store,0,high_value,Hyderabad,Telangana,2025-01-11
T008838,C0056,2025-01-30,3193.46,3,Sports,Net Banking,App,15,at_risk,Hyderabad,Karnataka,2025-01-02
T009154,C0987,2025-01-30,1290.76,1,Groceries,UPI,Web,10,low_engagement,Chennai,Gujarat,2025-01-06
T009819,C0509,2025-01-30,1924.06,1,Beauty,Credit Card,App,20,at_risk,Bengaluru,Telangana,2025-01-26
T010272,C1170,2025-01-30,2924.51,3,Groceries,Wallet,Web,15,repeat,Ahmedabad,West Bengal,2025-01-06
T010512,C0470,2025-01-30,678.82,1,Groceries,Wallet,Web,10,at_risk,Ahmedabad,Gujarat,2025-01-26
T012024,C0033,2025-01-30,5198.93,2,Home,Debit Card,Web,10,high_value,Hyderabad,Maharashtra,2025-01-03
T012223,C1009,2025-01-30,2160.16,3,Home,Net Banking,Web,5,repeat,Kolkata,Gujarat,2025-01-17
T012988,C0642,2025-01-30,1554.84,1,Electronics,Credit Card,Store,15,repeat,Chennai,Maharashtra,2025-01-25
T014326,C0146,2025-01-30,5420.87,1,Home,Debit Card,Store,15,high_value,Mumbai,Gujarat,2025-01-20
T000358,C1195,2025-01-31,6730.71,3,Home,Debit Card,App,10,high_value,Ahmedabad,Karnataka,2025-01-13
T000763,C0686,2025-01-31,2261.51,1,Beauty,Credit Card,Web,10,low_engagement,Delhi,Telangana,2025-01-20
T006633,C0455,2025-01-31,4839.11,1,Electronics,Net Banking,Web,15,high_value,Pune,Telangana,2025-01-21
T008069,C1147,2025-01-31,1394.61,1,Beauty,UPI,Store,5,low_engagement,Delhi,West Bengal,2025-01-15
T008829,C0870,2025-01-31,2747.56,2,Sports,Credit Card,Store,10,at_risk,Bengaluru,West Bengal,2025-01-19
T009988,C0830,2025-01-31,2021.78,2,Sports,Credit Card,Store,25,repeat,Bengaluru,Gujarat,2025-01-17
T012866,C0870,2025-01-31,1178.92,1,Groceries,UPI,Web,15,at_risk,Bengaluru,West Bengal,2025-01-19
T013785,C0241,2025-01-31,3174.29,2,Home,Credit Card,App,20,at_risk,Ahmedabad,Maharashtra,2025-01-19
T013996,C0643,2025-01-31,1280.15,1,Home,Credit Card,Store,25,repeat,Ahmedabad,Delhi,2025-01-15
T001135,C1047,2025-02-01,2892.86,2,Electronics,Debit Card,Web,0,repeat,Bengaluru,West Bengal,2025-01-06
T001765,C0581,2025-02-01,3520.38,2,Fashion,UPI,Store,10,repeat,Ahmedabad,Delhi,2025-01-23
T007862,C0169,2025-02-01,5481.75,2,Beauty,Debit Card,App,5,high_value,Delhi,Tamil Nadu,2025-01-31
T008018,C0043,2025-02-01,4689.48,2,Fashion,Credit Card,Web,5,high_value,Delhi,Karnataka,2025-01-18
T009034,C0450,2025-02-01,4294.54,3,Home,Debit Card,App,15,high_value,Bengaluru,Delhi,2025-01-01
T010064,C0962,2025-02-01,1866.81,2,Groceries,Net Banking,Store,20,low_engagement,Bengaluru,Maharashtra,2025-01-28
T000105,C0735,2025-02-02,3000.44,1,Fashion,Debit Card,App,25,repeat,Kolkata,Gujarat,2025-01-12
T000642,C1029,2025-02-02,3022.79,3,Fashion,UPI,Store,15,repeat,Mumbai,Maharashtra,2025-01-06
T000858,C0685,2025-02-02,1404.63,2,Groceries,Net Banking,Web,10,at_risk,Pune,West Bengal,2025-01-21
T001584,C0149,2025-02-02,5904.28,1,Electronics,UPI,Store,5,high_value,Kolkata,Tamil Nadu,2025-01-29
T001658,C1199,2025-02-02,2274.02,1,Beauty,Debit Card,Web,15,low_engagement,Mumbai,Delhi,2025-01-20
T002321,C0977,2025-02-02,400.16,1,Fashion,Credit Card,App,10,low_engagement,Ahmedabad,Tamil Nadu,2025-01-24
T002412,C0469,2025-02-02,2948.21,1,Fashion,UPI,Web,10,repeat,Bengaluru,Tamil Nadu,2025-01-24
T003439,C1166,2025-02-02,1049.49,1,Home,Wallet,Web,15,at_risk,Delhi,Tamil Nadu,2025-01-29
T004555,C0462,2025-02-02,1581.61,1,Sports,Net Banking,App,20,low_engagement,Hyderabad,Maharashtra,2025-01-14
T004925,C1192,2025-02-02,1385.73,3,Sports,Credit Card,App,5,low_engagement,Bengaluru,Telangana,2025-01-19
T005341,C0995,2025-02-02,1479.67,2,Groceries,Wallet,Web,5,repeat,Delhi,West Bengal,2025-02-01
T006322,C0903,2025-02-02,4146.66,3,Groceries,Credit Card,Web,5,repeat,Chennai,Karnataka,2025-01-25
T010652,C0580,2025-02-02,1938.56,1,Fashion,UPI,Web,10,repeat,Hyderabad,Maharashtra,2025-01-06
T010699,C1196,2025-02-02,3414.68,2,Electronics,UPI,App,10,at_risk,Kolkata,West Bengal,2025-01-07
T012359,C0450,2025-02-02,798.45,1,Fashion,UPI,App,15,high_value,Bengaluru,Delhi,2025-01-01
T012697,C0322,2025-02-02,1160.87,1,Groceries,UPI,Store,5,low_engagement,Kolkata,Karnataka,2025-01-03
T002502,C0296,2025-02-03,80.0,2,Fashion,Debit Card,Web,10,low_engagement,Hyderabad,Karnataka,2025-01-23
T002754,C0144,2025-02-03,1963.74,3,Home,Debit Card,App,10,repeat,Delhi,Delhi,2025-02-02
T003406,C0418,2025-02-03,2459.03,1,Beauty,UPI,Store,10,repeat,Chennai,Karnataka,2025-01-17
T004647,C0611,2025-02-03,4045.29,2,Fashion,Credit Card,App,0,high_value,Hyderabad,Tamil Nadu,2025-01-03
T008610,C1061,2025-02-03,2636.18,2,Groceries,Credit Card,Web,20,at_risk,Kolkata,Telangana,2025-01-28
T010227,C0905,2025-02-03,3136.27,1,Electronics,Credit Card,Web,10,repeat,Pune,Tamil Nadu,2025-02-01
T011095,C0662,2025-02-03,2793.49,3,Electronics,Debit Card,App,0,at_risk,Chennai,Maharashtra,2025-01-03
T011261,C1152,2025-02-03,2398.93,1,Sports,Credit Card,Web,10,at_risk,Mumbai,Gujarat,2025-01-13
T012386,C0332,2025-02-03,1137.89,2,Groceries,Net Banking,Web,20,low_engagement,Ahmedabad,Delhi,2025-01-06
T013790,C0906,2025-02-03,1699.73,2,Groceries,Net Banking,App,15,at_risk,Chennai,Maharashtra,2025-01-10
T013928,C0139,2025-02-03,3167.02,3,Fashion,Credit Card,Web,5,repeat,Mumbai,Telangana,2025-01-02
T000393,C0482,2025-02-04,1626.12,2,Home,Credit Card,Web,5,low_engagement,Hyderabad,Delhi,2025-01-19
T000537,C0417,2025-02-04,3625.85,1,Fashion,UPI,Web,0,repeat,Kolkata,Telangana,2025-01-11
T000743,C0632,2025-02-04,3162.04,1,Groceries,Wallet,Web,15,at_risk,Bengaluru,Telangana,2025-01-11
T002650,C0955,2025-02-04,4208.73,3,Home,Credit Card,Store,10,repeat,Chennai,Tamil Nadu,2025-01-09
T002923,C1072,2025-02-04,4493.29,2,Fashion,Wallet,App,15,repeat,Pune,Telangana,2025-02-01
T003621,C1186,2025-02-04,1769.64,2,Beauty,Credit Card,Web,5,at_risk,Delhi,Karnataka,2025-01-27
T005702,C0378,2025-02-04,6896.99,3,Groceries,UPI,App,25,high_value,Kolkata,Karnataka,2025-01-01
T007423,C0871,2025-02-04,2651.28,2,Groceries,Credit Card,App,10,repeat,Ahmedabad,Maharashtra,2025-01-26
T007639,C0878,2025-02-04,2042.12,1,Fashion,Net Banking,App,15,low_engagement,Chennai,Karnataka,2025-01-01
T008444,C1140,2025-02-04,2081.34,1,Groceries,Net Banking,App,5,low_engagement,Chennai,West Bengal,2025-01-17
T009050,C1154,2025-02-04,1660.62,1,Beauty,UPI,Web,10,low_engagement,Delhi,Maharashtra,2025-01-03
T009523,C1186,2025-02-04,2328.58,3,Home,Wallet,Web,0,at_risk,Delhi,Karnataka,2025-01-27
T009573,C0253,2025-02-04,3001.1,1,Home,UPI,Web,20,at_risk,Bengaluru,Tamil Nadu,2025-01-07
T010333,C1166,2025-02-04,3240.43,2,Groceries,Wallet,Store,10,at_risk,Delhi,Tamil Nadu,2025-01-29
T011061,C0322,2025-02-04,1975.33,2,Electronics,Wallet,Store,15,low_engagement,Kolkata,Karnataka,2025-01-03
T011573,C0761,2025-02-04,5326.19,3,Fashion,UPI,App,20,high_value,Ahmedabad,Tamil Nadu,2025-01-12
T012165,C0040,2025-02-04,1296.41,1,Electronics,UPI,App,0,repeat,Hyderabad,Gujarat,2025-01-02
T012874,C0594,2025-02-04,3560.84,1,Beauty,Debit Card,Store,0,repeat,Chennai,Gujarat,2025-01-03
T000357,C0991,2025-02-05,1086.0,2,Sports,Net Banking,Web,5,low_engagement,Bengaluru,Gujarat,2025-01-12
