customer_id,first_purchase_date,last_purchase_date,total_transactions,total_spend,avg_order_value,quantity_total,discount_usage_rate,active_months,customer_lifespan_days,days_since_last_purchase,churn_label,clv_proxy,transactions_last_90_days,spend_last_90_days
C0031,2025-05-05,2025-10-29,6,10513.84,1752.31,12,11.6667,5,177,63,0,4380.78,2,1938.47
C0032,2025-02-26,2025-12-15,19,112386.07,5915.06,46,10.2632,11,292,16,0,103020.63,9,49412.55
C0033,2025-01-20,2025-12-19,13,75116.95,5778.23,26,9.2308,7,333,12,0,43818.24,3,22173.59
C0034,2025-04-02,2025-11-21,7,12130.56,1732.94,9,13.5714,7,233,40,0,7076.17,2,4902.1
C0035,2025-04-22,2025-12-25,15,26806.52,1787.1,24,14.3333,6,247,6,0,13403.25,4,7144.29
C0036,2025-06-19,2025-12-21,9,16142.59,1793.62,14,11.6667,6,185,10,0,8071.29,4,5902.36
C0037,2025-01-25,2025-11-21,13,44194.35,3399.57,20,11.5385,8,300,40,0,29462.94,3,10834.94
C0038,2025-03-01,2025-12-21,24,134430.09,5601.25,50,12.0833,9,295,10,0,100822.5,10,60550.84
C0039,2025-05-14,2025-05-14,1,2061.41,2061.41,1,10.0,1,0,231,1,171.78,0,0.0
C0040,2025-01-21,2025-10-22,13,35989.11,2768.39,24,10.7692,8,274,70,0,23992.71,3,8938.06
C0041,2025-05-21,2025-11-30,11,52384.59,4762.24,23,11.3636,6,193,31,0,26192.32,2,7952.89
C0042,2025-03-30,2025-12-22,18,39411.02,2189.5,31,12.5,7,267,9,0,22989.75,5,14817.09
C0043,2025-02-01,2025-12-15,19,92809.46,4884.71,36,10.0,10,317,16,0,77341.24,5,23838.79
C0044,2025-08-06,2025-08-06,1,1631.35,1631.35,1,10.0,1,0,147,1,135.95,0,0.0
C0045,2025-04-19,2025-12-31,16,37531.26,2345.7,31,10.625,8,256,0,0,25020.8,3,6796.2
C0046,2025-02-23,2025-12-15,8,12750.76,1593.85,12,10.0,8,295,16,0,8500.53,2,3639.01
C0047,2025-02-27,2025-12-15,13,36938.78,2841.44,29,12.6923,8,291,16,0,24625.81,3,6811.47
C0048,2025-04-09,2025-12-21,12,16806.22,1400.52,15,12.5,7,256,10,0,9803.64,4,5454.58
C0049,2025-04-11,2025-08-24,6,12378.49,2063.08,10,15.0,4,135,129,1,4126.16,0,0.0
C0050,2025-03-01,2025-11-02,10,31320.68,3132.07,19,5.0,5,246,59,0,13050.29,1,3413.02
C0051,2025-03-15,2025-10-15,15,23274.22,1551.61,23,15.0,7,214,77,0,13576.59,2,1889.71
C0052,2025-04-03,2025-12-08,4,4683.43,1170.86,6,11.25,4,249,23,0,1561.15,2,1444.84
C0053,2025-04-02,2025-12-23,17,32192.31,1893.67,33,12.3529,8,265,8,0,21461.59,6,11124.84
C0054,2025-03-22,2025-12-26,11,18927.73,1720.7,18,17.7273,7,279,5,0,11041.16,4,5528.38
C0055,2025-04-30,2025-12-14,8,17283.79,2160.47,14,8.75,6,228,17,0,8641.88,2,3004.02
C0056,2025-01-30,2025-08-14,8,14590.49,1823.81,12,14.375,5,196,139,1,6079.37,0,0.0
C0057,2025-04-18,2025-12-31,26,133414.48,5131.33,56,12.6923,8,257,0,0,88943.05,10,44308.53
C0058,2025-02-12,2025-12-08,11,34142.74,3103.89,19,10.0,9,299,23,0,25607.09,2,6410.49
C0059,2025-01-29,2025-12-18,19,115676.96,6088.26,43,11.8421,12,323,13,0,115676.94,6,38544.15
C0060,2025-04-11,2025-12-16,10,22106.05,2210.61,17,9.5,6,249,15,0,11053.05,3,5950.72
C0061,2025-05-17,2025-12-19,16,37048.05,2315.5,26,12.8125,7,216,12,0,21611.33,8,19881.8
C0062,2025-05-08,2025-12-23,12,37134.96,3094.58,22,7.9167,6,229,8,0,18567.48,4,13668.18
C0063,2025-06-22,2025-12-10,14,20245.45,1446.1,19,11.7857,7,171,21,0,11809.82,4,6831.78
C0064,2025-03-01,2025-12-26,10,28962.25,2896.22,17,10.0,5,300,5,0,12067.58,5,14526.94
C0065,2025-03-13,2025-11-12,14,43320.26,3094.3,19,10.7143,7,244,49,0,25270.12,3,8393.03
C0066,2025-02-12,2025-12-27,7,14916.5,2130.93,10,13.5714,4,318,4,0,4972.17,3,4807.37
C0067,2025-03-23,2025-12-24,19,102281.67,5383.25,41,11.8421,8,276,7,0,68187.83,10,45132.96
C0068,2025-04-22,2025-12-17,13,22914.37,1762.64,21,15.3846,7,239,14,0,13366.69,5,9205.91
C0069,2025-04-11,2025-12-30,18,109034.97,6057.5,33,11.3889,8,263,1,0,72690.0,2,15359.38
C0070,2025-05-01,2025-12-26,7,16709.07,2387.01,9,15.0,4,239,5,0,5569.69,1,1922.66
C0071,2025-04-21,2025-12-17,8,10159.73,1269.97,11,11.875,5,240,14,0,4233.23,5,4187.28
C0072,2025-01-09,2025-12-10,21,58449.56,2783.31,37,12.8571,10,335,21,0,48707.93,8,14374.25
C0073,2025-03-29,2025-12-14,20,117895.19,5894.76,39,10.75,9,260,17,0,88421.4,5,31203.22
C0074,2025-03-03,2025-12-06,10,20179.4,2017.94,16,11.0,7,278,25,0,11771.32,1,3655.14
C0075,2025-03-24,2025-12-03,10,14617.62,1461.76,16,12.5,8,254,28,0,9745.07,3,5968.0
C0076,2025-04-12,2025-12-21,14,23184.12,1656.01,25,14.2857,9,253,10,0,17388.1,5,8555.12
C0077,2025-03-17,2025-12-25,12,16622.87,1385.24,17,12.5,7,283,6,0,9696.68,3,3863.17
C0078,2025-01-20,2025-12-29,22,120312.03,5468.73,46,10.2273,11,343,2,0,110286.05,6,35491.23
C0079,2025-01-19,2025-12-20,15,43720.56,2914.7,24,7.0,10,335,11,0,36433.75,2,6583.24
C0080,2025-04-25,2025-12-18,16,74211.29,4638.21,35,7.1875,8,237,13,0,49474.24,2,10683.14
C0081,2025-04-02,2025-11-05,7,12283.14,1754.73,13,14.2857,6,217,56,0,6141.56,1,1832.35
C0082,2025-03-14,2025-12-05,10,15007.07,1500.71,20,13.5,9,266,26,0,11255.33,3,6475.87
C0083,2025-05-11,2025-11-16,15,41020.99,2734.73,28,10.0,6,189,45,0,20510.47,4,10720.7
C0084,2025-02-06,2025-12-31,23,119642.44,5201.85,52,8.0435,10,328,0,0,99702.13,7,36626.21
C0085,2025-03-29,2025-12-21,15,50703.03,3380.2,29,11.0,8,267,10,0,33802.0,5,16780.91
C0086,2025-03-26,2025-12-13,16,41073.94,2567.12,26,10.3125,8,262,18,0,27382.61,10,26680.59
C0087,2025-05-07,2025-12-27,5,9764.34,1952.87,8,12.0,5,234,4,0,4068.48,1,2882.7
C0088,2025-05-06,2025-10-20,6,12703.93,2117.32,9,12.5,4,167,72,0,4234.64,1,1474.34
C0089,2025-04-18,2025-09-24,7,9379.25,1339.89,15,12.1429,3,159,98,1,2344.81,0,0.0
C0090,2025-03-12,2025-12-29,19,61442.4,3233.81,27,10.2632,8,292,2,0,40961.59,9,25370.68
C0091,2025-03-05,2025-12-22,29,174696.45,6024.02,62,9.3103,10,292,9,0,145580.48,12,72410.37
C0092,2025-04-23,2025-12-06,7,9844.82,1406.4,11,17.1429,5,227,25,0,4102.0,2,2552.65
C0093,2025-04-13,2025-10-18,10,16599.8,1659.98,17,11.0,6,188,74,0,8299.9,2,2912.38
C0094,2025-03-15,2025-10-30,8,16895.78,2111.97,13,9.375,5,229,62,0,7039.9,2,3468.94
C0095,2025-03-14,2025-12-23,4,6363.89,1590.97,7,5.0,4,284,8,0,2121.29,2,4143.11
C0096,2025-06-15,2025-11-28,9,30093.24,3343.69,18,11.6667,5,166,33,0,12538.84,3,8213.68
C0097,2025-01-20,2025-08-22,11,20047.03,1822.46,18,13.6364,8,214,131,1,13364.71,0,0.0
C0098,2025-03-06,2025-11-12,14,38243.75,2731.7,24,8.5714,6,251,49,0,19121.9,6,11373.66
C0099,2025-05-26,2025-12-30,23,130052.79,5654.47,54,11.087,8,218,1,0,86701.87,12,56598.79
C0100,2025-06-06,2025-12-31,19,104209.94,5484.73,41,7.3684,6,208,0,0,52104.93,10,55172.52
C0101,2025-04-17,2025-12-30,23,124525.08,5414.13,57,8.4783,9,257,1,0,93393.74,9,54750.06
C0102,2025-02-19,2025-12-01,8,15230.14,1903.77,14,13.75,7,285,30,0,8884.26,2,1967.33
C0103,2025-03-29,2025-11-13,14,40726.59,2909.04,22,10.0,8,229,48,0,27151.04,2,6391.92
C0104,2025-05-07,2025-12-03,9,14656.62,1628.51,18,20.5556,6,210,28,0,7328.3,3,5204.44
C0105,2025-02-10,2025-11-13,8,18512.26,2314.03,13,12.5,5,276,48,0,7713.43,1,2294.49
C0106,2025-01-25,2025-11-13,17,58014.79,3412.63,33,12.0588,10,292,48,0,48345.59,4,16615.56
C0107,2025-04-10,2025-12-28,12,26717.59,2226.47,25,7.0833,7,262,3,0,15585.29,3,6331.72
C0108,2025-04-03,2025-12-05,4,6074.99,1518.75,6,8.75,4,246,26,0,2025.0,2,3408.69
C0109,2025-05-12,2025-12-24,14,42568.75,3040.63,25,11.0714,6,226,7,0,21284.41,8,26580.8
C0110,2025-03-04,2025-12-24,20,103809.38,5190.47,44,7.5,6,295,7,0,51904.7,6,32136.66
C0111,2025-03-26,2025-12-25,18,54050.04,3002.78,30,11.3889,9,274,6,0,40537.53,9,30453.7
C0112,2025-02-08,2025-12-17,21,118133.44,5625.4,45,10.9524,11,312,14,0,108288.95,6,33335.87
C0113,2025-04-23,2025-12-26,11,18216.65,1656.06,18,15.4545,8,247,5,0,12144.44,2,3242.94
C0114,2025-05-04,2025-12-09,17,33282.83,1957.81,29,13.8235,6,219,22,0,16641.38,4,5134.52
C0115,2025-04-27,2025-12-13,9,16040.54,1782.28,14,12.2222,6,230,18,0,8020.26,3,4609.53
C0116,2025-05-14,2025-10-15,5,10717.79,2143.56,10,13.0,5,154,77,0,4465.75,1,2135.56
C0117,2025-01-21,2025-11-19,10,18390.83,1839.08,20,11.5,7,302,42,0,10727.97,1,1845.0
C0118,2025-01-25,2025-12-28,18,45911.97,2550.66,39,10.2778,10,337,3,0,38259.9,7,18078.64
C0119,2025-04-03,2025-12-28,3,3508.46,1169.49,3,8.3333,2,269,3,0,584.75,2,2406.64
C0120,2025-05-08,2025-11-23,4,5258.7,1314.67,6,13.75,4,199,38,0,1752.89,1,1179.74
C0121,2025-04-04,2025-11-30,9,16755.08,1861.68,15,12.2222,6,240,31,0,8377.56,2,4430.21
C0122,2025-03-11,2025-12-17,8,19325.4,2415.68,11,13.125,5,281,14,0,8052.27,1,2482.0
C0123,2025-01-25,2025-12-08,14,42517.76,3036.98,20,12.8571,10,317,23,0,35431.43,3,8477.63
C0124,2025-01-13,2025-11-18,23,115551.06,5023.96,50,9.5652,10,309,43,0,96292.57,7,40598.37
C0125,2025-05-08,2025-11-28,14,44354.1,3168.15,22,13.9286,6,204,33,0,22177.05,4,14495.46
C0126,2025-03-18,2025-12-24,11,32068.31,2915.3,20,11.3636,6,281,7,0,16034.15,7,19912.8
C0127,2025-04-22,2025-10-30,13,22226.45,1709.73,23,16.1538,6,191,62,0,11113.25,1,1565.67
C0128,2025-01-28,2025-12-01,5,6514.19,1302.84,7,17.0,4,307,30,0,2171.4,1,1840.38
C0129,2025-02-05,2025-11-22,26,149825.38,5762.51,51,9.6154,9,290,39,0,112368.95,5,31581.78
C0130,2025-06-28,2025-12-07,5,6963.98,1392.8,8,17.0,4,162,24,0,2321.33,1,1092.44
C0131,2025-05-27,2025-12-28,13,35805.92,2754.3,25,9.6154,7,215,3,0,20886.78,5,8447.93
C0132,2025-04-21,2025-12-21,16,44645.31,2790.33,33,11.5625,7,244,10,0,26043.08,5,12012.0
C0133,2025-05-17,2025-12-27,25,135500.69,5420.03,57,9.6,8,224,4,0,90333.83,11,64183.67
C0134,2025-03-22,2025-12-14,11,31815.1,2892.28,22,11.8182,8,267,17,0,21210.05,5,14298.03
C0135,2025-02-19,2025-12-24,7,11981.18,1711.6,13,14.2857,5,308,7,0,4992.17,4,9185.82
C0136,2025-05-06,2025-11-16,16,46530.27,2908.14,28,10.3125,6,194,45,0,23265.12,2,4176.23
C0137,2025-05-05,2025-11-09,7,10445.9,1492.27,10,8.5714,5,188,52,0,4352.45,3,5482.32
C0138,2025-03-03,2025-11-19,9,13721.16,1524.57,14,13.8889,6,261,42,0,6860.56,2,3205.49
C0139,2025-02-03,2025-12-23,16,47025.19,2939.07,27,12.5,9,323,8,0,35268.84,5,15086.66
C0140,2025-02-19,2025-11-30,7,12389.19,1769.88,11,12.8571,5,284,31,0,5162.15,3,5927.65
C0141,2025-02-21,2025-09-18,9,14467.56,1607.51,14,14.4444,6,209,104,1,7233.8,0,0.0
C0142,2025-02-16,2025-12-27,20,58720.85,2936.04,37,11.25,9,314,4,0,44040.6,8,22212.45
C0143,2025-04-28,2025-12-17,18,52146.81,2897.05,28,14.1667,8,233,14,0,34764.6,3,8217.31
C0144,2025-02-03,2025-12-08,16,40387.67,2524.23,27,11.5625,10,308,23,0,33656.4,5,10676.28
C0145,2025-04-05,2025-12-27,21,64445.06,3068.81,34,13.3333,8,266,4,0,42963.34,6,20332.8
C0146,2025-01-30,2025-12-29,16,83609.22,5225.58,31,8.75,11,333,2,0,76641.84,5,21109.52
C0147,2025-03-30,2025-11-10,9,12422.28,1380.25,17,14.4444,7,225,51,0,7246.31,2,2752.78
C0148,2025-06-21,2025-12-03,5,4343.35,868.67,10,12.0,3,165,28,0,1085.84,4,3774.29
C0149,2025-02-02,2025-12-09,15,84282.89,5618.86,28,9.6667,9,310,22,0,63212.17,5,28303.55
C0150,2025-04-05,2025-11-18,10,22742.14,2274.21,20,12.0,7,227,43,0,13266.23,3,7524.92
C0151,2025-02-15,2025-11-17,11,20575.61,1870.51,19,14.5455,8,275,44,0,13717.07,2,5525.77
C0152,2025-04-05,2025-11-28,13,37448.24,2880.63,22,10.3846,8,237,33,0,24965.46,3,6657.81
C0153,2025-02-19,2025-12-31,28,155107.22,5539.54,52,8.2143,11,315,0,0,142181.53,9,51605.87
C0154,2025-03-06,2025-09-12,7,17699.55,2528.51,11,9.2857,5,190,110,1,7374.82,0,0.0
C0155,2025-02-21,2025-07-21,8,17148.27,2143.53,12,11.25,4,150,163,1,5716.08,0,0.0
C0156,2025-04-29,2025-12-07,21,57598.37,2742.78,37,9.0476,9,222,24,0,43198.79,5,15130.44
C0157,2025-06-10,2025-12-11,11,21388.04,1944.37,18,10.4545,6,184,20,0,10694.03,4,9645.69
C0158,2025-05-06,2025-09-19,7,13247.26,1892.47,10,7.8571,4,136,103,1,4415.76,0,0.0
C0159,2025-04-28,2025-12-12,15,41655.19,2777.01,28,9.6667,9,228,19,0,31241.36,5,18302.65
C0160,2025-04-02,2025-11-04,10,17178.38,1717.84,18,15.5,6,216,57,0,8589.2,2,4995.67
C0161,2025-03-26,2025-11-03,8,28044.7,3505.59,18,8.125,6,222,58,0,14022.36,3,11203.38
C0162,2025-04-09,2025-09-03,6,9148.47,1524.74,12,14.1667,5,147,119,1,3811.85,0,0.0
C0163,2025-02-23,2025-12-18,9,14366.59,1596.29,15,17.2222,8,298,13,0,9577.74,3,3797.63
C0164,2025-04-03,2025-12-19,4,4553.89,1138.47,7,8.75,4,260,12,0,1517.96,2,3319.89
C0165,2025-03-22,2025-12-25,25,143989.05,5759.56,56,10.2,10,278,6,0,119990.83,5,30367.26
C0166,2025-03-27,2025-10-25,6,12924.83,2154.14,6,9.1667,6,212,67,0,6462.42,1,2016.26
C0167,2025-04-11,2025-11-25,8,23514.76,2939.34,16,8.75,5,228,36,0,9797.8,2,5596.86
C0168,2025-02-15,2025-12-31,21,57597.51,2742.74,36,13.5714,10,319,0,0,47997.95,4,9484.39
C0169,2025-02-01,2025-12-12,14,79446.08,5674.72,32,7.8571,7,314,19,0,46343.55,3,19385.97
C0170,2025-03-14,2025-11-28,8,14303.13,1787.89,13,13.125,6,259,33,0,7151.56,2,4599.02
C0171,2025-04-26,2025-10-05,6,6416.15,1069.36,11,15.8333,5,162,87,0,2673.4,1,675.02
C0172,2025-05-01,2025-11-29,19,92790.67,4883.72,33,5.7895,7,212,32,0,54127.9,4,15477.1
C0173,2025-04-10,2025-12-04,4,5413.11,1353.28,5,10.0,4,238,27,0,1804.37,2,1589.24
C0174,2025-03-18,2025-12-22,19,54227.58,2854.08,32,10.5263,8,279,9,0,36151.68,6,16605.02
C0175,2025-03-31,2025-12-13,10,16959.67,1695.97,18,12.5,7,257,18,0,9893.16,5,8396.14
C0176,2025-03-16,2025-12-24,27,150886.15,5588.38,60,11.8519,9,283,7,0,113164.7,8,38944.45
C0177,2025-02-05,2025-09-03,7,11561.57,1651.65,10,10.0,6,210,119,1,5780.78,0,0.0
C0178,2025-03-11,2025-12-21,14,34773.12,2483.79,28,5.7143,7,285,10,0,20284.28,2,7144.17
C0179,2025-05-21,2025-10-30,6,11894.06,1982.34,11,9.1667,3,162,62,0,2973.51,3,5479.74
C0180,2025-04-30,2025-12-02,25,139530.66,5581.23,48,12.6,9,216,29,0,104648.06,8,40126.05
C0181,2025-04-30,2025-12-30,19,53438.68,2812.56,34,10.2632,9,244,1,0,40078.98,6,21867.28
C0182,2025-04-22,2025-12-31,17,92077.87,5416.35,37,12.9412,9,253,0,0,69058.46,4,18465.16
C0183,2025-05-28,2025-10-03,6,11929.72,1988.29,10,12.5,5,128,89,0,4970.73,1,2970.26
C0184,2025-04-18,2025-11-15,9,16773.81,1863.76,16,11.6667,6,211,46,0,8386.92,4,7269.59
C0185,2025-04-04,2025-12-19,11,29818.93,2710.81,21,9.5455,7,259,12,0,17394.36,3,7924.88
C0186,2025-02-16,2025-12-23,7,14564.26,2080.61,11,10.0,5,310,8,0,6068.45,1,1325.88
C0187,2025-03-18,2025-12-23,4,7075.34,1768.84,5,15.0,4,280,8,0,2358.45,1,2357.05
C0188,2025-03-06,2025-07-04,6,6129.17,1021.53,9,15.8333,4,120,180,1,2043.06,0,0.0
C0189,2025-03-31,2025-08-20,6,9776.33,1629.39,11,18.3333,5,142,133,1,4073.48,0,0.0
C0190,2025-04-17,2025-12-01,13,38256.99,2942.85,23,10.3846,8,228,30,0,25504.7,3,8909.09
C0191,2025-02-16,2025-12-16,17,83668.65,4921.69,35,10.8824,9,303,15,0,62751.55,8,38201.23
C0192,2025-01-11,2025-07-29,10,19676.21,1967.62,15,11.5,5,199,155,1,8198.42,0,0.0
C0193,2025-04-23,2025-11-21,5,8104.7,1620.94,5,10.0,4,212,40,0,2701.57,2,2749.08
C0194,2025-05-09,2025-11-22,4,7432.58,1858.14,5,13.75,3,197,39,0,1858.14,1,2099.03
C0195,2025-01-19,2025-12-09,16,44344.84,2771.55,29,9.0625,10,324,22,0,36954.0,4,11307.45
C0196,2025-04-20,2025-12-28,16,54017.25,3376.08,25,12.1875,9,252,3,0,40512.96,7,25121.38
C0197,2025-05-11,2025-05-31,2,2664.38,1332.19,3,7.5,1,20,214,1,222.03,0,0.0
C0198,2025-04-03,2025-09-16,7,15331.17,2190.17,8,15.7143,4,166,106,1,5110.4,0,0.0
C0199,2025-02-09,2025-11-25,5,8169.81,1633.96,9,15.0,4,289,36,0,2723.27,1,1930.29
C0200,2025-03-25,2025-10-14,4,2879.57,719.89,7,18.75,3,203,78,0,719.89,2,688.52
C0201,2025-03-01,2025-12-07,9,12567.6,1396.4,13,12.7778,5,281,24,0,5236.5,1,985.02
C0202,2025-03-14,2025-12-18,18,102896.52,5716.47,40,10.8333,9,279,13,0,77172.35,7,46807.78
C0203,2025-04-17,2025-12-21,25,151727.44,6069.1,51,13.2,9,248,10,0,113795.63,9,49956.24
C0204,2025-05-22,2025-12-27,15,32098.07,2139.87,27,11.6667,7,219,4,0,18723.86,4,8828.94
C0205,2025-07-13,2025-12-21,8,13627.78,1703.47,14,14.375,4,161,10,0,4542.59,2,3514.62
C0206,2025-04-22,2025-12-28,28,162547.56,5805.27,57,10.3571,9,250,3,0,121910.67,12,60791.43
C0207,2025-02-21,2025-12-31,15,78714.46,5247.63,34,11.3333,8,313,0,0,52476.3,4,24325.59
C0208,2025-02-06,2025-11-22,7,15153.1,2164.73,11,12.1429,5,289,39,0,6313.8,1,2305.14
C0209,2025-04-03,2025-12-13,25,137413.51,5496.54,54,12.6,9,254,18,0,103060.13,7,35493.71
C0210,2025-04-09,2025-12-01,21,121785.93,5799.33,45,7.619,9,236,30,0,91339.45,10,62158.36
C0211,2025-04-06,2025-12-17,7,10734.77,1533.54,9,12.1429,6,255,14,0,5367.39,4,3364.88
C0212,2025-06-28,2025-12-09,6,10649.04,1774.84,12,10.0,5,164,22,0,4437.1,4,7042.25
C0213,2025-05-10,2025-12-22,9,18181.04,2020.12,10,15.0,6,226,9,0,9090.54,3,6402.61
C0214,2025-04-24,2025-12-19,16,53288.01,3330.5,26,11.25,9,239,12,0,39966.0,7,21841.04
C0215,2025-04-21,2025-12-13,12,20495.35,1707.95,25,13.3333,7,236,18,0,11955.65,3,6158.68
C0216,2025-01-23,2025-12-26,23,54944.3,2388.88,32,11.9565,10,337,5,0,45786.87,6,13392.3
C0217,2025-02-07,2025-12-29,13,31515.3,2424.25,21,12.3077,7,325,2,0,18383.9,5,13287.97
C0218,2025-02-11,2025-12-30,8,11857.31,1482.16,15,14.375,7,322,1,0,6916.75,2,4155.83
C0219,2025-05-27,2025-11-12,6,9620.25,1603.38,11,12.5,6,169,49,0,4810.14,2,2986.78
C0220,2025-04-23,2025-12-12,13,23262.54,1789.43,19,15.3846,7,233,19,0,13569.84,2,4525.76
C0221,2025-04-17,2025-12-25,6,9950.48,1658.41,9,14.1667,5,252,6,0,4146.03,3,5442.72
C0222,2025-02-16,2025-11-25,7,12193.24,1741.89,11,15.0,5,282,36,0,5080.51,1,1297.33
C0223,2025-03-16,2025-12-26,19,98897.16,5205.11,44,13.9474,9,285,5,0,74172.82,7,35529.8
C0224,2025-05-19,2025-12-22,14,40108.08,2864.86,22,13.2143,7,217,9,0,23396.36,7,21231.65
C0225,2025-02-26,2025-12-08,22,56515.79,2568.9,47,9.0909,9,285,23,0,42386.85,8,17409.03
C0226,2025-04-04,2025-12-30,24,62309.04,2596.21,40,10.0,8,270,1,0,41539.36,10,27802.24
C0227,2025-01-09,2025-10-11,8,6407.94,800.99,12,8.75,5,275,81,0,2669.97,1,770.49
C0228,2025-03-01,2025-12-14,15,47554.73,3170.32,24,11.6667,9,288,17,0,35666.1,5,19338.04
C0229,2025-04-18,2025-12-03,14,21244.53,1517.47,27,15.3571,7,229,28,0,12392.67,1,2994.3
C0230,2025-03-22,2025-12-12,11,17567.34,1597.03,15,14.0909,8,265,19,0,11711.55,3,4342.2
C0231,2025-05-22,2025-09-21,8,14663.89,1832.99,10,15.0,5,122,101,1,6109.97,0,0.0
C0232,2025-06-16,2025-12-20,7,12935.72,1847.96,15,16.4286,5,187,11,0,5389.88,2,3664.24
C0233,2025-04-03,2025-11-28,7,11781.61,1683.09,13,13.5714,6,239,33,0,5890.81,1,1943.47
C0234,2025-04-04,2025-12-20,15,39455.97,2630.4,27,10.0,8,260,11,0,26304.0,5,13940.11
C0235,2025-02-25,2025-12-03,20,57886.1,2894.3,35,11.0,10,281,28,0,48238.33,6,11619.52
C0236,2025-05-05,2025-11-29,5,7351.57,1470.31,7,14.0,4,208,32,0,2450.52,3,3380.8
C0237,2025-04-13,2025-12-17,17,46414.86,2730.29,30,9.4118,8,248,14,0,30943.29,6,13170.84
C0238,2025-02-21,2025-12-31,22,144650.17,6575.01,46,10.2273,10,313,0,0,120541.85,5,34554.87
C0239,2025-06-07,2025-11-09,8,8549.24,1068.65,11,13.125,4,155,52,0,2849.73,2,438.47
C0240,2025-04-05,2025-12-29,18,84873.92,4715.22,31,13.3333,7,268,2,0,49509.81,7,34773.06
C0241,2025-01-19,2025-11-23,7,14851.62,2121.66,12,15.0,5,308,38,0,6188.18,2,4466.42
C0242,2025-05-08,2025-12-08,9,13099.36,1455.48,13,14.4444,5,214,23,0,5458.05,2,3750.24
C0243,2025-06-22,2025-09-29,4,6902.29,1725.57,4,13.75,3,99,93,1,1725.57,0,0.0
C0244,2025-06-01,2025-12-14,16,42803.42,2675.21,24,13.4375,7,196,17,0,24968.63,5,15084.66
